cell_class	channel_combo	plate	well
interphase	DAPI_COXIV_CENPA_WGA	1	A2
interphase	DAPI_CENPA	1	A2
mitotic	DAPI_COXIV_CENPA_WGA	1	A2
mitotic	DAPI_CENPA	1	A2
all	DAPI_COXIV_CENPA_WGA	1	A2
all	DAPI_CENPA	1	A2
interphase	DAPI_COXIV_CENPA_WGA	2	A1
interphase	DAPI_CENPA	2	A1
mitotic	DAPI_COXIV_CENPA_WGA	2	A1
mitotic	DAPI_CENPA	2	A1
all	DAPI_COXIV_CENPA_WGA	2	A1
all	DAPI_CENPA	2	A1
interphase	DAPI_COXIV_CENPA_WGA	3	B3
interphase	DAPI_CENPA	3	B3
mitotic	DAPI_COXIV_CENPA_WGA	3	B3
mitotic	DAPI_CENPA	3	B3
all	DAPI_COXIV_CENPA_WGA	3	B3
all	DAPI_CENPA	3	B3
interphase	DAPI_COXIV_CENPA_WGA	3	A1
interphase	DAPI_CENPA	3	A1
mitotic	DAPI_COXIV_CENPA_WGA	3	A1
mitotic	DAPI_CENPA	3	A1
all	DAPI_COXIV_CENPA_WGA	3	A1
all	DAPI_CENPA	3	A1
interphase	DAPI_COXIV_CENPA_WGA	2	B2
interphase	DAPI_CENPA	2	B2
mitotic	DAPI_COXIV_CENPA_WGA	2	B2
mitotic	DAPI_CENPA	2	B2
all	DAPI_COXIV_CENPA_WGA	2	B2
all	DAPI_CENPA	2	B2
interphase	DAPI_COXIV_CENPA_WGA	2	B1
interphase	DAPI_CENPA	2	B1
mitotic	DAPI_COXIV_CENPA_WGA	2	B1
mitotic	DAPI_CENPA	2	B1
all	DAPI_COXIV_CENPA_WGA	2	B1
all	DAPI_CENPA	2	B1
interphase	DAPI_COXIV_CENPA_WGA	3	B2
interphase	DAPI_CENPA	3	B2
mitotic	DAPI_COXIV_CENPA_WGA	3	B2
mitotic	DAPI_CENPA	3	B2
all	DAPI_COXIV_CENPA_WGA	3	B2
all	DAPI_CENPA	3	B2
interphase	DAPI_COXIV_CENPA_WGA	2	B3
interphase	DAPI_CENPA	2	B3
mitotic	DAPI_COXIV_CENPA_WGA	2	B3
mitotic	DAPI_CENPA	2	B3
all	DAPI_COXIV_CENPA_WGA	2	B3
all	DAPI_CENPA	2	B3
interphase	DAPI_COXIV_CENPA_WGA	2	A3
interphase	DAPI_CENPA	2	A3
mitotic	DAPI_COXIV_CENPA_WGA	2	A3
mitotic	DAPI_CENPA	2	A3
all	DAPI_COXIV_CENPA_WGA	2	A3
all	DAPI_CENPA	2	A3
interphase	DAPI_COXIV_CENPA_WGA	1	A1
interphase	DAPI_CENPA	1	A1
mitotic	DAPI_COXIV_CENPA_WGA	1	A1
mitotic	DAPI_CENPA	1	A1
all	DAPI_COXIV_CENPA_WGA	1	A1
all	DAPI_CENPA	1	A1
interphase	DAPI_COXIV_CENPA_WGA	3	B1
interphase	DAPI_CENPA	3	B1
mitotic	DAPI_COXIV_CENPA_WGA	3	B1
mitotic	DAPI_CENPA	3	B1
all	DAPI_COXIV_CENPA_WGA	3	B1
all	DAPI_CENPA	3	B1
interphase	DAPI_COXIV_CENPA_WGA	3	A3
interphase	DAPI_CENPA	3	A3
mitotic	DAPI_COXIV_CENPA_WGA	3	A3
mitotic	DAPI_CENPA	3	A3
all	DAPI_COXIV_CENPA_WGA	3	A3
all	DAPI_CENPA	3	A3
interphase	DAPI_COXIV_CENPA_WGA	1	B2
interphase	DAPI_CENPA	1	B2
mitotic	DAPI_COXIV_CENPA_WGA	1	B2
mitotic	DAPI_CENPA	1	B2
all	DAPI_COXIV_CENPA_WGA	1	B2
all	DAPI_CENPA	1	B2
interphase	DAPI_COXIV_CENPA_WGA	1	B1
interphase	DAPI_CENPA	1	B1
mitotic	DAPI_COXIV_CENPA_WGA	1	B1
mitotic	DAPI_CENPA	1	B1
all	DAPI_COXIV_CENPA_WGA	1	B1
all	DAPI_CENPA	1	B1
interphase	DAPI_COXIV_CENPA_WGA	2	A2
interphase	DAPI_CENPA	2	A2
mitotic	DAPI_COXIV_CENPA_WGA	2	A2
mitotic	DAPI_CENPA	2	A2
all	DAPI_COXIV_CENPA_WGA	2	A2
all	DAPI_CENPA	2	A2
interphase	DAPI_COXIV_CENPA_WGA	3	A2
interphase	DAPI_CENPA	3	A2
mitotic	DAPI_COXIV_CENPA_WGA	3	A2
mitotic	DAPI_CENPA	3	A2
all	DAPI_COXIV_CENPA_WGA	3	A2
all	DAPI_CENPA	3	A2
interphase	DAPI_COXIV_CENPA_WGA	1	B3
interphase	DAPI_CENPA	1	B3
mitotic	DAPI_COXIV_CENPA_WGA	1	B3
mitotic	DAPI_CENPA	1	B3
all	DAPI_COXIV_CENPA_WGA	1	B3
all	DAPI_CENPA	1	B3
interphase	DAPI_COXIV_CENPA_WGA	1	A3
interphase	DAPI_CENPA	1	A3
mitotic	DAPI_COXIV_CENPA_WGA	1	A3
mitotic	DAPI_CENPA	1	A3
all	DAPI_COXIV_CENPA_WGA	1	A3
all	DAPI_CENPA	1	A3
